Cluster,ID
45,"[228, 394, 460, 662, 714, 838, 916, 925]"
46,"[28, 46, 108, 124, 189, 190, 238, 259, 300, 301, 351, 479, 555, 701, 737, 793, 796, 799, 863, 876, 886, 953, 965, 1004, 1022, 1032, 1040, 1140]"
47,"[54, 69, 77, 87, 91, 167, 257, 273, 284, 291, 310, 345, 352, 388, 405, 426, 435, 492, 507, 576, 687, 692, 721, 727, 732, 740, 744, 769, 1067]"
48,"[13, 226, 270, 384, 499, 682]"
49,"[1, 2, 6, 10, 65, 141, 180, 267, 343, 443, 456, 480, 623, 678, 853, 1073, 1141]"
50,"[37, 393, 468, 486, 511, 541, 710, 816, 845, 1092]"
51,"[211, 214, 215, 334, 441, 524, 589, 590, 627, 904, 1000]"
52,"[604, 652, 677, 797, 884, 1088]"
53,"[9, 169, 271, 316, 554, 810, 882, 899, 919, 922, 993, 1063, 1077, 1089]"
54,"[135, 185, 249, 335, 528, 605, 647, 760, 791, 817, 979, 988, 1083]"
55,"[21, 290, 336, 360, 364, 446, 505, 600, 603, 640, 681, 697, 734, 928, 981, 1033, 1034, 1085]"
56,"[118, 322, 386, 424, 467, 574, 680, 1044]"
57,"[16, 60, 111, 328, 349, 397, 534, 656, 659, 770, 967, 1021, 1106, 1112]"
58,"[20, 137, 668, 717, 1055]"
59,"[44, 140, 317, 383, 599, 626]"
